TL,Territory Level and Typology,REG_ID,Region,SERIES,SNA Classification,VAR,Indicator,MEAS,Measure,POS,Position,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
2,Large regions (TL2),ITI2,Umbria,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,32771.6,,
2,Large regions (TL2),ITH4,Friuli-Venezia Giulia,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2009,2009,,,0,Units,,,48645.9,,
2,Large regions (TL2),ITF4,Apulia,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2013,2013,,,0,Units,,,97075.3,,
2,Large regions (TL2),ITH5,Emilia-Romagna,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2007,2007,,,0,Units,,,210679,,
2,Large regions (TL2),ITC1,Piedmont,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,182706,,
2,Large regions (TL2),ITC1,Piedmont,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2006,2006,,,0,Units,,,191006,,
2,Large regions (TL2),ITC3,Liguria,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2006,2006,,,0,Units,,,69418.1,,
2,Large regions (TL2),ITH3,Veneto,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2012,2012,,,0,Units,,,202800,,
2,Large regions (TL2),ITH5,Emilia-Romagna,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2009,2009,,,0,Units,,,194613,,
2,Large regions (TL2),ITH3,Veneto,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2008,2008,,,0,Units,,,214111,,
2,Large regions (TL2),ITI4,Lazio,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2013,2013,,,0,Units,,,253996,,
